YEAR,EVENT_ID,SITE_ID,STATION,POT_ID,SAMPLE_POT,all_Cnt_cc,all_Kg_cc,lrg_Cnt,lrg_Kg
1992,1992P04003,1,A,1,Sample,2,0.053,1,0.033639
1992,1992P04003,1,A,10,Sample,17,0.605,17,0.605
1992,1992P04003,1,A,11,Sample,12,0.495,12,0.495
1992,1992P04003,1,A,2,Sample,9,0.249,7,0.214325
1992,1992P04003,1,A,3,Sample,2,0.08,2,0.08
1992,1992P04003,1,A,4,Sample,3,0.075,3,0.075
1992,1992P04003,1,A,5,Sample,30,0.786,26,0.717292
1992,1992P04003,1,A,6,Sample,38,1.199,36,1.160189
1992,1992P04003,1,A,7,Sample,33,0.927,32,0.913381
1992,1992P04003,1,A,9,Sample,12,0.367,12,0.367
1992,1992P04004,1,B,1,Sample,24,0.778,24,0.778
1992,1992P04004,1,B,10,Sample,2,0.07,2,0.07
1992,1992P04004,1,B,11,Sample,0,0,0,0
1992,1992P04004,1,B,2,Sample,3,0.029,3,0.029
1992,1992P04004,1,B,3,Sample,14,0.487,14,0.487
1992,1992P04004,1,B,4,Sample,57,1.854,56,1.835292
1992,1992P04004,1,B,5,Sample,18,0.556,18,0.556
1992,1992P04004,1,B,6,Sample,10,0.292,8,0.258483
1992,1992P04004,1,B,7,Sample,6,0.18,6,0.18
1992,1992P04004,1,B,8,Sample,12,0.434,12,0.434
1992,1992P04004,1,B,9,Sample,15,0.55,15,0.55
1992,1992P04001,1,C,1,Sample,0,0,0,0
1992,1992P04001,1,C,10,Sample,10,0.2,10,0.2
1992,1992P04001,1,C,11,Sample,1,0.031,1,0.031
1992,1992P04001,1,C,2,Sample,4,0.072,4,0.072
1992,1992P04001,1,C,3,Sample,0,0,0,0
1992,1992P04001,1,C,4,Sample,6,0.094,6,0.094
1992,1992P04001,1,C,5,Sample,4,0.04,0,0
1992,1992P04001,1,C,6,Sample,20,0.376,20,0.376
1992,1992P04001,1,C,7,Sample,10,0.105,6,0.092108
1992,1992P04001,1,C,8,Sample,4,0.048,2,0.030317
1992,1992P04001,1,C,9,Sample,4,0.063,4,0.063
1992,1992P04002,1,D,1,Sample,26,0.496,22,0.470551
1992,1992P04002,1,D,10,Sample,42,0.697,38,0.668938
1992,1992P04002,1,D,11,Sample,22,0.32,16,0.275787
1992,1992P04002,1,D,2,Sample,32,0.452,28,0.414464
1992,1992P04002,1,D,3,Sample,46,0.697,40,0.645361
1992,1992P04002,1,D,4,Sample,26,0.363,24,0.353861
1992,1992P04002,1,D,5,Sample,20,0.317,20,0.317
1992,1992P04002,1,D,6,Sample,34,0.568,30,0.529102
1992,1992P04002,1,D,7,Sample,74,1.191,72,1.171516
1992,1992P04002,1,D,8,Sample,18,0.304,14,0.277865
1992,1992P04002,1,D,9,Sample,20,0.281,18,0.262843
1992,1992P04005,2,A,1,Sample,6,0.195,4,0.167905
1992,1992P04005,2,A,10,Sample,14,0.373,8,0.279176
1992,1992P04005,2,A,11,Sample,24,0.77,22,0.730852
1992,1992P04005,2,A,2,Sample,3,0.143,3,0.143
1992,1992P04005,2,A,3,Sample,5,0.079,2,0.044538
1992,1992P04005,2,A,4,Sample,0,0,0,0
1992,1992P04005,2,A,5,Sample,3,0.038,0,0
1992,1992P04005,2,A,6,Sample,7,0.204,5,0.17338
1992,1992P04005,2,A,7,Sample,10,0.332,7,0.282418
1992,1992P04005,2,A,8,Sample,10,0.304,6,0.231358
1992,1992P04005,2,A,9,Sample,6,0.116,3,0.075659
1992,1992P04006,2,B,1,Sample,0,0,0,0
1992,1992P04006,2,B,10,Sample,7,0.198,5,0.167019
1992,1992P04006,2,B,11,Sample,17,0.732,16,0.717393
1992,1992P04006,2,B,2,Sample,0,0,0,0
1992,1992P04006,2,B,3,Sample,0,0,0,0
1992,1992P04006,2,B,4,Sample,1,0.026,1,0.026
1992,1992P04006,2,B,5,Sample,1,0.02,0,0
1992,1992P04006,2,B,6,Sample,13,0.381,10,0.330381
1992,1992P04006,2,B,7,Sample,0,0,0,0
1992,1992P04006,2,B,8,Sample,30,0.967,22,0.862534
1992,1992P04006,2,B,9,Sample,19,0.62,17,0.581756
1992,1992P04007,2,C,1,Sample,2,0.136,2,0.136
1992,1992P04007,2,C,10,Sample,7,0.202,5,0.163453
1992,1992P04007,2,C,11,Sample,17,0.684,16,0.667562
1992,1992P04007,2,C,2,Sample,9,0.372,9,0.372
1992,1992P04007,2,C,3,Sample,14,0.529,12,0.493747
1992,1992P04007,2,C,4,Sample,5,0.22,4,0.210967
1992,1992P04007,2,C,5,Sample,13,0.429,11,0.398922
1992,1992P04007,2,C,6,Sample,5,0.18,5,0.18
1992,1992P04007,2,C,7,Sample,1,0.051,1,0.051
1992,1992P04007,2,C,8,Sample,4,0.081,2,0.056757
1992,1992P04007,2,C,9,Sample,16,0.434,13,0.38993
1992,1992P04008,2,D,1,Sample,5,0.222,5,0.222
1992,1992P04008,2,D,10,Sample,3,0.081,1,0.046062
1992,1992P04008,2,D,11,Sample,12,0.329,9,0.281108
1992,1992P04008,2,D,2,Sample,6,0.281,5,0.266182
1992,1992P04008,2,D,3,Sample,1,0.058,1,0.058
1992,1992P04008,2,D,4,Sample,1,0.035,1,0.035
1992,1992P04008,2,D,5,Sample,0,0,0,0
1992,1992P04008,2,D,6,Sample,2,0.035,1,0.019935
1992,1992P04008,2,D,7,Sample,6,0.15,4,0.115586
1992,1992P04008,2,D,8,Sample,21,0.823,21,0.823
1992,1992P04008,2,D,9,Sample,17,0.602,16,0.583588
1992,1992P04009,3,A,1,Sample,3,0.03,0,0
1992,1992P04009,3,A,10,Sample,18,0.38,11,0.289646
1992,1992P04009,3,A,11,Sample,6,0.118,3,0.082397
1992,1992P04009,3,A,2,Sample,11,0.233,6,0.16639
